snake_name,scientific_name,toxicity,size
Common Death Adder,Acanthophis antarcticus,venomous 💀💀💀💀 very dangerous bite,Length: 15.0 to 100.0 cm
Plains Death Adder,Acanthophis hawkei,venomous 💀💀💀💀 very dangerous bite,Length: up to 130.0 cm
New Guinea Death Adder,Acanthophis laevis,venomous 💀💀💀💀 very dangerous bite,Length: 18.0 to 110.0 cm
Northern Death Adder,Acanthophis praelongus,venomous 💀💀💀💀 very dangerous bite,Length: up to 89.0 cm
Desert Death Adder,Acanthophis pyrrhus,venomous 💀💀💀💀 very dangerous bite,Length: up to 75.0 cm
Rough Scaled Death Adder,Acanthophis rugosus,venomous 💀💀💀💀 very dangerous bite,Length: up to 110.0 cm
Pilbara Death Adder,Acanthophis wellsi,venomous 💀💀💀💀 very dangerous bite,Length: up to 54.0 cm
Kimberley Death Adder,Acanthophis cryptamydros,venomous 💀💀💀💀 very dangerous bite,Length: up to 64.5 cm
Bourret's Odd Scaled Snake,Achalinus ater,non-venomous ---,Length: up to 43.0 cm
Formosa Odd Scaled Snake,Achalinus formosanus,non-venomous ---,Length: up to 100.0 cm
Hainan Odd Scaled Snake,Achalinus hainanus,non-venomous ---,Length: up to 31.0 cm
Zong's Odd Scaled Snake,Achalinus jinggangensis,non-venomous ---,Length: up to 46.0 cm
Szechwan Odd Scaled Snake,Achalinus meiguensis,non-venomous ---,Length: up to 64.0 cm
Black Odd Scaled Snake,Achalinus niger,non-venomous ---,Length: up to 80.0 cm
Rufous Burrowing Snake,Achalinus rufescens,non-venomous ---,Length: up to 40.0 cm
Peters' Odd Scaled Snake,Achalinus spinalis,non-venomous ---,Length: up to 60.0 cm
Amami Takachiho Snake,Achalinus werneri,non-venomous ---,Length: unknown
Dumeril's Ground Boa,Acrantophis dumerili,non-venomous 🐍🐍 constrictor – harmful,Length: up to 200.0 cm
Madagascar Ground Boa,Acrantophis madagascariensis,non-venomous 🐍🐍🐍 constrictor – dangerous,Length: 60.0 to 300.0 cm
Arafura File Snake,Acrochordus arafurae,non-venomous ---,Length: up to 250.0 cm
Little File Snake,Acrochordus granulatus,non-venomous ---,Length: 22.0 to 122.0 cm
Elephant Trunk Snake,Acrochordus javanicus,non-venomous ---,Length: 20.0 to 290.0 cm
Banao's Blind Snake,Acutotyphlops banaorum,non-venomous ---,Length: unknown
Red Blind Snake,Acutotyphlops infralabialis,non-venomous ---,Length: unknown
Kunua Blind Snake,Acutotyphlops kunuaensis,non-venomous ---,Length: unknown
Solomon Islands Blind Snake,Acutotyphlops solomonis,non-venomous ---,Length: unknown
Bismarck Sharp Nosed Blind Snake,Acutotyphlops subocularis,non-venomous ---,Length: unknown
Cope's Mountain Meadow Snake,Adelophis copei,unclear toxicity ??? unclear dangerousness,Length: up to 31.0 cm
Fox's Mountain Meadow Snake,Adelophis foxi,unclear toxicity ??? unclear dangerousness,Length: up to 43.0 cm
Dary's Burrowing Snake,Adelphicos daryi,unclear toxicity ??? unclear dangerousness,Length: up to 57.0 cm
Quiché Burrowing Snake,Adelphicos ibarrorum,unclear toxicity ??? unclear dangerousness,Length: up to 52.0 cm
Oaxacan Burrowing Snake,Adelphicos latifasciatum,unclear toxicity ??? unclear dangerousness,Length: up to 44.0 cm
Burrowing Snake,Adelphicos nigrilatum,unclear toxicity ??? unclear dangerousness,Length: up to 45.0 cm
Middle American Burrowing Snake,Adelphicos quadrivirgatum,unclear toxicity ??? unclear dangerousness,Length: up to 40.0 cm
Stuart's Burrowing Snake,Adelphicos veraepacis,unclear toxicity ??? unclear dangerousness,Length: up to 46.0 cm
Middle American Burrowing Snake,Adelphicos newmanorum,unclear toxicity ??? unclear dangerousness,Length: unknown
Sargi’s Earth Snake,Adelphicos sargii,unclear toxicity ??? unclear dangerousness,Length: unknown
Middle American Burrowing Snake,Adelphicos visoninum,unclear toxicity ??? unclear dangerousness,Length: unknown
Somali Snake,Aeluroglena cucullata,unclear toxicity ??? unclear dangerousness,Length: up to 60.0 cm
African Brown Water Snake,Afronatrix anoscopus,unclear toxicity ??? unclear dangerousness,Length: up to 75.0 cm
Angola Blind Snake,Afrotyphlops angolensis,non-venomous ---,Length: unknown
Bibron's Blind Snake,Afrotyphlops bibronii,non-venomous ---,Length: up to 30.0 cm
Blanford’s Blind Snake,Afrotyphlops blanfordii,non-venomous ---,Length: unknown
Blotched Blind Snake,Afrotyphlops congestus,non-venomous ---,Length: unknown
Fornasini's Blind Snake,Afrotyphlops fornasinii,non-venomous ---,Length: unknown
Usambara Spotted Worm Snake,Afrotyphlops gierrai,non-venomous ---,Length: unknown
Kakamega Blind Snake,Afrotyphlops kaimosae,non-venomous ---,Length: unknown
Lineolate Blind Snake,Afrotyphlops lineolatus,non-venomous ---,Length: unknown
Kenyan Dwarf Blind Snake,Afrotyphlops nanus,non-venomous ---,Length: unknown
Bicoloured Blind Snake,Afrotyphlops nigrocandidus,non-venomous ---,Length: unknown
Spotted Blind Snake,Afrotyphlops punctatus,non-venomous ---,Length: unknown
Rondo Worm Snake,Afrotyphlops rondoensis,non-venomous ---,Length: unknown
Schmidt’s Blind Snake,Afrotyphlops schmidti,non-venomous ---,Length: unknown
Steinhaus' Worm Snake,Afrotyphlops steinhausi,non-venomous ---,Length: unknown
Liwale Blind Snake,Afrotyphlops tanganicanus,non-venomous ---,Length: unknown
Usambara Blind Snake,Afrotyphlops usambaricus,non-venomous ---,Length: unknown
Slender Blind Snake,Afrotyphlops obtusus,non-venomous ---,Length: unknown
Angolan Giant Blind Snake,Afrotyphlops anomalus,non-venomous ---,Length: unknown
Somali Giant Blind Snake,Afrotyphlops brevis,non-venomous ---,Length: unknown
Zambezi Blind Snake,Afrotyphlops mucruso,non-venomous ---,Length: unknown
Schlegel's Giant Blind Snake,Afrotyphlops schlegelii,non-venomous ---,Length: up to 95.0 cm
Calabresi’s Blind Snake,Afrotyphlops calabresii,non-venomous ---,Length: unknown
Wedgenose Worm Snake,Afrotyphlops cuneirostris,non-venomous ---,Length: unknown
Elegant Worm Snake,Afrotyphlops elegans,non-venomous ---,Length: unknown
Tanga Worm Snake,Afrotyphlops platyrhynchus,non-venomous ---,Length: unknown
Guinea Blind Snake,Afrotyphlops liberiensis,non-venomous ---,Length: unknown
Mexican Cantil,Agkistrodon bilineatus,venomous 💀💀💀💀 very dangerous bite,Length: 25.0 to 141.0 cm
Copperhead,Agkistrodon contortrix,venomous 💀💀💀 dangerous bite,Length: 17.0 to 135.0 cm
Cottonmouth,Agkistrodon piscivorus,venomous 💀💀💀💀 very dangerous bite,Length: 15.2 to 189.0 cm
Castellana,Agkistrodon taylori,venomous 💀💀💀💀 very dangerous bite,Length: up to 110.0 cm
Gloyd’s Moccasin,Agkistrodon howardgloydi,venomous 💀💀💀 dangerous bite,Length: up to 135.0 cm
Yucatecan Cantil,Agkistrodon russeolus,venomous 💀💀💀 dangerous bite,Length: up to 112.0 cm
Florida Cottonmouth,Agkistrodon conanti,venomous 💀💀💀 dangerous bite,Length: up to 189.0 cm
Broad Banded Copperhead,Agkistrodon laticinctus,venomous 💀💀💀 dangerous bite,Length: up to 95.0 cm
Gunther's Vine Snake,Ahaetulla dispar,venomous 💀💀 harmful bite,Length: up to 79.0 cm
Speckle Headed Vine Snake,Ahaetulla fasciolata,venomous 💀💀 harmful bite,Length: up to 150.0 cm
Burmese Vine Snake,Ahaetulla fronticincta,venomous 💀💀 harmful bite,Length: up to 105.0 cm
Malayan Green Whip Snake,Ahaetulla mycterizans,venomous 💀💀 harmful bite,Length: up to 120.0 cm
Long Nosed Whip Snake,Ahaetulla nasuta,venomous 💀💀 harmful bite,Length: 20.0 to 200.0 cm
Western Ghats Bronzeback,Ahaetulla perroteti,venomous 💀💀 harmful bite,Length: up to 61.0 cm
Oriental Whip Snake,Ahaetulla prasina,venomous 💀💀 harmful bite,Length: 35.0 to 197.0 cm
Brown Speckled Whip Snake,Ahaetulla pulverulenta,venomous 💀💀 harmful bite,Length: up to 180.0 cm
Variable Coloured Vine Snake,Ahaetulla anomala,venomous 💀💀 harmful bite,Length: unknown
Short Nosed Sea Snake,Aipysurus apraefrontalis,venomous 💀💀💀💀 very dangerous bite,Length: up to 110.0 cm
Dubois' Sea Snake,Aipysurus duboisii,venomous 💀💀💀💀 very dangerous bite,Length: up to 148.0 cm
Spine Tailed Sea Snake,Aipysurus eydouxii,venomous 💀💀 harmful bite,Length: 23.0 to 115.0 cm
Leaf Scaled Sea Snake,Aipysurus foliosquama,venomous 💀💀💀💀 very dangerous bite,Length: up to 100.0 cm
Timor Reef Snake,Aipysurus fuscus,venomous 💀💀💀💀 very dangerous bite,Length: up to 100.0 cm
Olive Brown Sea Snake,Aipysurus laevis,venomous 💀💀💀💀 very dangerous bite,Length: up to 230.0 cm
Arafura Sea Snake,Aipysurus tenuis,venomous 💀💀💀💀 very dangerous bite,Length: up to 130.0 cm
Mosaic Sea Snake,Aipysurus mosaicus,venomous 💀💀💀💀 very dangerous bite,Length: up to 110.0 cm
Shark Bay Sea Snake,Aipysurus pooleorum,venomous 💀💀💀💀 very dangerous bite,Length: up to 114.0 cm
Yellow Flanked Keeled Snake,Alluaudina bellyi,unclear toxicity ??? unclear dangerousness,Length: up to 45.0 cm
Ankarana Keeled Snake,Alluaudina mocquardi,unclear toxicity ??? unclear dangerousness,Length: up to 50.0 cm
Antiguan Racer,Alsophis antiguae,venomous 💀💀 harmful bite,Length: up to 86.0 cm
Antilles Racer,Alsophis antillensis,venomous 💀💀 harmful bite,Length: up to 131.0 cm
Danforth's Racer,Alsophis danforthi,venomous 💀💀 harmful bite,Length: unknown
Montserrat Racer,Alsophis manselli,venomous 💀💀 harmful bite,Length: unknown
Leeward Island Racer,Alsophis rijgersmaei,venomous 💀💀 harmful bite,Length: up to 138.0 cm
Orange Bellied Racer,Alsophis rufiventris,venomous 💀💀 harmful bite,Length: up to 140.0 cm
Great Bird Island Racer,Alsophis sajdaki,venomous 💀💀 harmful bite,Length: unknown
Terre De Haut Racer,Alsophis sanctonum,venomous 💀💀 harmful bite,Length: unknown
Dominican Racer,Alsophis sibonius,venomous 💀💀 harmful bite,Length: unknown
Rustyhead Snake,Amastridium veliferum,unclear toxicity ??? unclear dangerousness,Length: up to 73.0 cm
Rusty Headed Snake,Amastridium sapperi,unclear toxicity ??? unclear dangerousness,Length: unknown
Natal Purple Glossed Snake,Amblyodipsas concolor,venomous 💀💀 harmful bite,Length: up to 55.0 cm
Mpwapwa Purple Glossed Snake,Amblyodipsas dimidiata,venomous 💀💀 harmful bite,Length: up to 52.0 cm
Katanga Purple Glossed Snake,Amblyodipsas katangensis,venomous 💀💀 harmful bite,Length: up to 41.0 cm
Eastern Purple Glossed Snake,Amblyodipsas microphthalma,venomous 💀💀 harmful bite,Length: up to 35.0 cm
Common Purple Glossed Snake,Amblyodipsas polylepis,venomous 💀💀 harmful bite,Length: up to 111.0 cm
Rodhain's Purple Glossed Snake,Amblyodipsas rodhaini,venomous 💀💀 harmful bite,Length: up to 44.0 cm
Teitana Purple Glossed Snake,Amblyodipsas teitana,venomous 💀💀 harmful bite,Length: up to 43.0 cm
Western Glossy Snake,Amblyodipsas unicolor,venomous 💀💀 harmful bite,Length: up to 114.0 cm
Kalahari Purple Glossed Snake,Amblyodipsas ventrimaculata,venomous 💀💀 harmful bite,Length: up to 48.0 cm
Amoipira Blind Snake,Amerotyphlops amoipira,non-venomous ---,Length: unknown
Brongersma's Worm Snake,Amerotyphlops brongersmianus,non-venomous ---,Length: unknown
Costa Rica Worm Snake,Amerotyphlops costaricensis,non-venomous ---,Length: unknown
Estado Falcón Worm Snake,Amerotyphlops lehneri,non-venomous ---,Length: unknown
Yucatecan Worm Snake,Amerotyphlops microstomus,non-venomous ---,Length: unknown
Basin Worm Snake,Amerotyphlops minuisquamus,non-venomous ---,Length: up to 27.3 cm
Pernambuco Worm Snake,Amerotyphlops paucisquamus,non-venomous ---,Length: unknown
Reticulate Worm Snake,Amerotyphlops reticulatus,non-venomous ---,Length: up to 25.6 cm
Stadelman's Worm Snake,Amerotyphlops stadelmani,non-venomous ---,Length: unknown
Grenada Worm Snake,Amerotyphlops tasymicris,non-venomous ---,Length: up to 22.7 cm
Coffee Worm Snake,Amerotyphlops tenuis,non-venomous ---,Length: unknown
Trinidad Worm Snake,Amerotyphlops trinitatus,non-venomous ---,Length: unknown
Santa Barbara Blind Snake,Amerotyphlops tycherus,non-venomous ---,Length: unknown
Yonenga Worm Snake,Amerotyphlops yonenagae,non-venomous ---,Length: unknown
Areia Worm Snake,Amerotyphlops arenensis,non-venomous ---,Length: unknown
Bahia Black Naped Snake,Amnesteophis melanauchen,unclear toxicity ??? unclear dangerousness,Length: unknown
Buff Striped Keelback,Amphiesma stolatum,venomous 💀💀 harmful bite,Length: 9.0 to 90.0 cm
Werner's Ornate Snake,Amphiesmoides ornaticeps,unclear toxicity ??? unclear dangerousness,Length: up to 100.0 cm
Cape Many Spotted Snake,Amplorhinus multimaculatus,venomous 💀💀 harmful bite,Length: up to 80.0 cm
Small Headed Blind Snake,Anilios affinis,non-venomous ---,Length: up to 22.0 cm
Sand Dwelling Blind Snake,Anilios ammodytes,non-venomous ---,Length: up to 23.0 cm
Round Tailed Blind Snake,Anilios aspina,non-venomous ---,Length: up to 23.5 cm
Southern Blind Snake,Anilios australis,non-venomous ---,Length: up to 50.0 cm
Batillus Blind Snake,Anilios batillus,non-venomous ---,Length: up to 32.0 cm
Prong Snouted Blind Snake,Anilios bituberculatus,non-venomous ---,Length: up to 33.3 cm
Faint Striped Blind Snake,Anilios broomi,non-venomous ---,Length: up to 12.5 cm
Centralian Blind Snake,Anilios centralis,non-venomous ---,Length: up to 30.6 cm
Cape York Striped Blind Snake,Anilios chamodracaena,non-venomous ---,Length: up to 21.0 cm
Northern Blind Snake,Anilios diversus,non-venomous ---,Length: up to 21.2 cm
Interior Blind Snake,Anilios endoterus,non-venomous ---,Length: up to 23.5 cm
Cathedral Gorge Blind Snake,Anilios ganei,non-venomous ---,Length: unknown
Long Beaked Blind Snake,Anilios grypus,non-venomous ---,Length: up to 45.0 cm
Top End Blind Snake,Anilios guentheri,non-venomous ---,Length: up to 14.2 cm
Pale Headed Blind Snake,Anilios hamatus,non-venomous ---,Length: unknown
Kimberley Deep Soil Blind Snake,Anilios howi,non-venomous ---,Length: up to 21.0 cm
Kimberley Shallow Soil Blind Snake,Anilios kimberleyensis,non-venomous ---,Length: up to 29.6 cm
Murchison Blind Snake,Anilios leptosoma,non-venomous ---,Length: up to 28.2 cm
Robust Blind Snake,Anilios ligatus,non-venomous ---,Length: up to 50.0 cm
Barrow Island Blind Snake,Anilios longissimus,non-venomous ---,Length: up to 26.8 cm
Buff Snouted Blind Snake,Anilios margaretae,non-venomous ---,Length: up to 30.6 cm
Small Eyed Blind Snake,Anilios micromma,non-venomous ---,Length: up to 20.5 cm
Groote Dwarf Blind Snake,Anilios minimus,non-venomous ---,Length: up to 17.0 cm
Fannie Bay Blind Snake,Anilios nema,non-venomous ---,Length: up to 26.8 cm
Blackish Blind Snake,Anilios nigrescens,non-venomous ---,Length: up to 75.0 cm
Pilbara Beaked Blind Snake,Anilios pilbarensis,non-venomous ---,Length: up to 24.1 cm
Rotund Blind Snake,Anilios pinguis,non-venomous ---,Length: up to 34.8 cm
Proximus Blind Snake,Anilios proximus,non-venomous ---,Length: unknown
Romeo Creek Blind Snake,Anilios robertsi,non-venomous ---,Length: up to 29.0 cm
Great Sandy Blind Snake,Anilios silvia,non-venomous ---,Length: up to 17.5 cm
Milyering Well Blind Snake,Anilios splendidus,non-venomous ---,Length: up to 51.2 cm
Darwin Blind Snake,Anilios tovelli,non-venomous ---,Length: up to 12.2 cm
Sandamara Blind Snake,Anilios troglodytes,non-venomous ---,Length: up to 40.2 cm
Claw Snouted Blind Snake,Anilios unguirostris,non-venomous ---,Length: up to 45.0 cm
Beaked Blind Snake,Anilios waitii,non-venomous ---,Length: unknown
Brown Snouted Blind Snake,Anilios wiedii,non-venomous ---,Length: up to 24.5 cm
Yampi Blind Snake,Anilios yampiensis,non-venomous ---,Length: up to 12.8 cm
Yirrkala Blind Snake,Anilios yirrikalae,non-venomous ---,Length: unknown
Two Colored Blind Snake,Anilios bicolor,non-venomous ---,Length: up to 27.5 cm
Northern New Guinea Blind Snake,Anilios erycinus,non-venomous ---,Length: up to 35.0 cm
White Tailed Blind Snake,Anilios leucoproctus,non-venomous ---,Length: up to 22.0 cm
Southern New Guinea Blind Snake,Anilios torresianus,non-venomous ---,Length: unknown
Miner Blind Snake,Anilios fossor,non-venomous ---,Length: unknown
Fassifern Blind Snake,Anilios insperatus,non-venomous ---,Length: unknown
Blunt Snouted Blind Snake,Anilios obtusifrons,non-venomous ---,Length: unknown
Sharp Snouted Blind Snake,Anilios systenos,non-venomous ---,Length: unknown
West Kimberley Blind Snake,Anilios zonula,non-venomous ---,Length: unknown
South American Pipe Snake,Anilius scytale,non-venomous ---,Length: up to 90.0 cm
Taylor's Peru Blind Snake,Anomalepis aspinosus,non-venomous ---,Length: unknown
Caldas Blind Snake,Anomalepis colombia,non-venomous ---,Length: up to 17.2 cm
Ecuador Blind Snake,Anomalepis flavapices,non-venomous ---,Length: up to 14.6 cm
Mexican Blind Snake,Anomalepis mexicanus,non-venomous ---,Length: up to 13.0 cm
Leonard's Pipe Snake,Anomochilus leonardi,non-venomous ---,Length: up to 39.0 cm
Mountain Pipe Snake,Anomochilus monticola,non-venomous ---,Length: up to 52.2 cm
Weber's Pipe Snake,Anomochilus weberi,non-venomous ---,Length: unknown
Sumatran Keelback,Anoplohydrus aemulans,unclear toxicity ??? unclear dangerousness,Length: up to 43.0 cm
North Eastern Plain Nosed Burrowing Snake,Antaioserpens warro,venomous ?💀? unclear dangerousness,Length: up to 45.0 cm
Northeastern Plain Nosed Burrowing Snake,Antaioserpens albiceps,venomous ?💀? unclear dangerousness,Length: unknown
Children's Python,Antaresia childreni,non-venomous 🐍 constrictor – considered harmless,Length: 25.0 to 150.0 cm
Spotted Python,Antaresia maculosa,non-venomous 🐍🐍 constrictor – harmful,Length: 25.0 to 150.0 cm
Pygmy Python,Antaresia perthensis,non-venomous 🐍 constrictor – considered harmless,Length: up to 76.9 cm
Stimson's Python,Antaresia stimsoni,non-venomous 🐍🐍 constrictor – harmful,Length: 25.0 to 140.0 cm
Saint Barts Blind Snake,Antillotyphlops annae,non-venomous ---,Length: unknown
Erica's Worm Snake,Antillotyphlops catapontus,non-venomous ---,Length: unknown
Dominican Worm Snake,Antillotyphlops dominicanus,non-venomous ---,Length: unknown
Grant's Worm Snake,Antillotyphlops granti,non-venomous ---,Length: unknown
Puerto Rican Coastal Blind Snake,Antillotyphlops hypomethes,non-venomous ---,Length: unknown
Montiserrat Worm Snake,Antillotyphlops monastus,non-venomous ---,Length: unknown
Mona Worm Snake,Antillotyphlops monensis,non-venomous ---,Length: unknown
Flathead Worm Snake,Antillotyphlops platycephalus,non-venomous ---,Length: unknown
Ground Snake,Antillotyphlops richardi,non-venomous ---,Length: unknown
Montiserrat Worm Snake,Antillotyphlops geotomus,non-venomous ---,Length: unknown
Guadeloupe Worm Snake,Antillotyphlops guadeloupensis,non-venomous ---,Length: unknown
Erica's Worm Snake,Antillotyphlops naugus,non-venomous ---,Length: unknown
Cape Centipede Eater,Aparallactus capensis,venomous 💀 considered harmless,Length: up to 41.0 cm
Uluguru Centipede Eater,Aparallactus guentheri,venomous 💀 considered harmless,Length: up to 47.0 cm
Jackson's Centipede Eater,Aparallactus jacksonii,venomous 💀 considered harmless,Length: up to 30.0 cm
Lined Centipede Eater,Aparallactus lineatus,venomous 💀 considered harmless,Length: up to 61.0 cm
Reticulated Centipede Eater,Aparallactus lunulatus,venomous 💀 considered harmless,Length: up to 53.0 cm
Western Forest Centipede Eater,Aparallactus modestus,venomous 💀 considered harmless,Length: up to 64.5 cm
Zaire Centipede Eater,Aparallactus moeruensis,venomous 💀 considered harmless,Length: up to 39.0 cm
Black Centipede Eater,Aparallactus niger,venomous 💀 considered harmless,Length: up to 61.0 cm
Mozambique Centipede Eater,Aparallactus nigriceps,venomous 💀 considered harmless,Length: up to 34.0 cm
Malindi Centipede Eater,Aparallactus turneri,venomous 💀 considered harmless,Length: up to 20.0 cm
Usambara Centipede Eater,Aparallactus werneri,venomous 💀 considered harmless,Length: up to 39.0 cm
Blunthead Slug Snake,Aplopeltura boa,non-venomous ---,Length: 20.0 to 90.0 cm
White Collared Blackhead,Apostolepis albicollaris,unclear toxicity ??? unclear dangerousness,Length: up to 43.0 cm
Paraguayan Blackhead,Apostolepis ambiniger,unclear toxicity ??? unclear dangerousness,Length: up to 40.0 cm
Tocantins Blackhead,Apostolepis ammodites,unclear toxicity ??? unclear dangerousness,Length: up to 63.0 cm
Sand Dunes Blackhead,Apostolepis arenaria,unclear toxicity ??? unclear dangerousness,Length: up to 32.0 cm
Reinhardt's Burrowing Snake,Apostolepis assimilis,unclear toxicity ??? unclear dangerousness,Length: up to 56.0 cm
Chaco Blackhead,Apostolepis breviceps,unclear toxicity ??? unclear dangerousness,Length: up to 32.0 cm
Gomes' Burrowing Snake,Apostolepis cearensis,unclear toxicity ??? unclear dangerousness,Length: up to 55.0 cm
Cerrado Blackhead,Apostolepis cerradoensis,unclear toxicity ??? unclear dangerousness,Length: unknown
Christine's Blackhead,Apostolepis christineae,unclear toxicity ??? unclear dangerousness,Length: unknown
Common Bilineate Blackhead,Apostolepis dimidiata,unclear toxicity ??? unclear dangerousness,Length: up to 73.0 cm
Bolivian Burrowing Snake,Apostolepis dorbignyi,unclear toxicity ??? unclear dangerousness,Length: up to 50.0 cm
Central Burrowing Snake,Apostolepis flavotorquata,unclear toxicity ??? unclear dangerousness,Length: up to 90.0 cm
Oueimadas Blackhead,Apostolepis gaboi,unclear toxicity ??? unclear dangerousness,Length: up to 30.0 cm
Goias Burrowing Snake,Apostolepis goiasensis,unclear toxicity ??? unclear dangerousness,Length: up to 41.0 cm
Mato Grosso Burrowing Snake,Apostolepis intermedia,unclear toxicity ??? unclear dangerousness,Length: unknown
Longhead Burrowing Snake,Apostolepis longicaudata,unclear toxicity ??? unclear dangerousness,Length: up to 43.0 cm
Many Banded Blackhead,Apostolepis multicincta,unclear toxicity ??? unclear dangerousness,Length: up to 39.0 cm
Minacu Blackhead,Apostolepis nelsonjorgei,unclear toxicity ??? unclear dangerousness,Length: unknown
Amazon Burrowing Snake,Apostolepis niceforoi,unclear toxicity ??? unclear dangerousness,Length: unknown
Guyana Burrowing Snake,Apostolepis nigrolineata,unclear toxicity ??? unclear dangerousness,Length: up to 54.0 cm
Peru Burrowing Snake,Apostolepis nigroterminata,unclear toxicity ??? unclear dangerousness,Length: up to 42.0 cm
Velasco Blackhead,Apostolepis phillipsae,unclear toxicity ??? unclear dangerousness,Length: up to 43.0 cm
Hawkbeak Blackhead,Apostolepis polylepis,unclear toxicity ??? unclear dangerousness,Length: up to 62.0 cm
Brazilian Burrowing Snake,Apostolepis pymi,unclear toxicity ??? unclear dangerousness,Length: up to 74.0 cm
Missiones Blackhead,Apostolepis quirogai,unclear toxicity ??? unclear dangerousness,Length: up to 37.0 cm
Mato Grosso Burrowing Snake,Apostolepis serrana,unclear toxicity ??? unclear dangerousness,Length: unknown
Rondonian Blackhead,Apostolepis striata,unclear toxicity ??? unclear dangerousness,Length: unknown
Ruthven's Burrowing Snake,Apostolepis tenuis,unclear toxicity ??? unclear dangerousness,Length: up to 35.0 cm
Beaked Blackhead,Apostolepis vittata,unclear toxicity ??? unclear dangerousness,Length: up to 50.0 cm
Uberlândia Blackhead,Apostolepis tertulianobeui,unclear toxicity ??? unclear dangerousness,Length: unknown
Borrelli's Burrowing Snake,Apostolepis borellii,unclear toxicity ??? unclear dangerousness,Length: unknown
Lined Burrowing Snake,Apostolepis lineata,unclear toxicity ??? unclear dangerousness,Length: unknown
De Lema's Ground Snake,Apostolepis thalesdelemai,unclear toxicity ??? unclear dangerousness,Length: unknown
Addur Woodland Snake,Aprosdoketophis andreonei,unclear toxicity ??? unclear dangerousness,Length: unknown
Problem Ground Snake,Arcanumophis problematicus,unclear toxicity ??? unclear dangerousness,Length: up to 28.0 cm
Bella Rat Snake,Archelaphe bella,unclear toxicity ??? unclear dangerousness,Length: up to 95.0 cm
Banded Racer,Argyrogena fasciolata,unclear toxicity ??? unclear dangerousness,Length: 15.0 to 135.0 cm
Striped Tail Racer,Argyrogena vittacaudata,unclear toxicity ??? unclear dangerousness,Length: unknown
Günther’s Blind Snake,Argyrophis bothriorhynchus,non-venomous ---,Length: unknown
Diard’s Blind Snake,Argyrophis diardii,non-venomous ---,Length: up to 43.0 cm
Brown Worm Snake,Argyrophis fuscus,non-venomous ---,Length: unknown
Vietnam Worm Snake,Argyrophis giadinhensis,non-venomous ---,Length: unknown
Sumatra Worm Snake,Argyrophis hypsobothrius,non-venomous ---,Length: unknown
Kuala Lumpur Worm Snake,Argyrophis klemmeri,non-venomous ---,Length: unknown
Koshun Worm Snake,Argyrophis koshunensis,non-venomous ---,Length: unknown
Mueller’s Blind Snake,Argyrophis muelleri,non-venomous ---,Length: up to 45.0 cm
Andaman Island Worm Snake,Argyrophis oatesii,non-venomous ---,Length: unknown
Bangkok Blind Snake,Argyrophis roxaneae,non-venomous ---,Length: unknown
Siamese Blind Snake,Argyrophis siamensis,non-venomous ---,Length: unknown
Trang Blind Snake,Argyrophis trangensis,non-venomous ---,Length: unknown
Glossy Snake,Arizona elegans,unclear toxicity ??? unclear dangerousness,Length: 30.0 to 178.0 cm
Santa Domingo Glossy Snake,Arizona pacata,unclear toxicity ??? unclear dangerousness,Length: unknown
Cuban Island Racer,Arrhyton ainictum,unclear toxicity ??? unclear dangerousness,Length: up to 48.0 cm
Habana Island Racer,Arrhyton dolichura,unclear toxicity ??? unclear dangerousness,Length: up to 44.0 cm
Zapata Long Tailed Groundsnake,Arrhyton procerum,unclear toxicity ??? unclear dangerousness,Length: up to 21.0 cm
Oriente Brown Capped Ground Snake,Arrhyton redimitum,unclear toxicity ??? unclear dangerousness,Length: up to 36.0 cm
Oriente Black Groundsnake,Arrhyton supernum,unclear toxicity ??? unclear dangerousness,Length: up to 43.0 cm
Günther's Island Racer,Arrhyton taeniatum,unclear toxicity ??? unclear dangerousness,Length: up to 59.0 cm
San Vincente Island Racer,Arrhyton tanyplectum,unclear toxicity ??? unclear dangerousness,Length: up to 54.0 cm
Common Island Racer,Arrhyton vittatum,unclear toxicity ??? unclear dangerousness,Length: up to 30.0 cm
Cape Coral Snake,Aspidelaps lubricus,venomous 💀💀💀 dangerous bite,Length: 17.0 to 80.0 cm
Shield Nose Snake,Aspidelaps scutatus,venomous 💀💀💀 dangerous bite,Length: 15.0 to 75.0 cm
Black Headed Python,Aspidites melanocephalus,non-venomous 🐍🐍🐍 constrictor – dangerous,Length: up to 302.0 cm
Ramsay's Python,Aspidites ramsayi,non-venomous 🐍🐍 constrictor – harmful,Length: up to 300.0 cm
Striped Crown Snake,Aspidomorphus lineaticollis,venomous 💀💀 harmful bite,Length: up to 41.0 cm
Müller’s Crown Snake,Aspidomorphus muelleri,venomous 💀💀 harmful bite,Length: up to 66.0 cm
Schlegel’s Crown Snake,Aspidomorphus schlegelii,venomous 💀💀 harmful bite,Length: up to 43.0 cm
Boie's Rough Sided Snake,Aspidura brachyorrhos,unclear toxicity ??? unclear dangerousness,Length: up to 40.0 cm
Cope's Rough Side,Aspidura copei,unclear toxicity ??? unclear dangerousness,Length: up to 60.0 cm
Sri Lanka Rough Sided Snake,Aspidura deraniyagalae,non-venomous ---,Length: up to 30.0 cm
Drummond Hay's Rough Sided Snake,Aspidura drummondhayi,non-venomous ---,Length: up to 40.0 cm
Günther's Rough Sided Snake,Aspidura guentheri,non-venomous ---,Length: up to 35.0 cm
